nom_commune,latitude,longitude,headcount
Quillan,42.8757498926,2.19080612724,3372.0
Quint-Fonsegrives,43.5815682751,1.54212357917,5237.0
Rabastens,43.8484040939,1.71495143196,5444.0
Ramonville-Saint-Agne,43.5441837911,1.47782372823,13885.0
Revel,43.4656037799,1.99689394052,9776.0
Rieumes,43.4121701053,1.11454294712,3575.0
Rieupeyroux,44.3085754076,2.22948755681,2087.0
Rieux-Minervois,43.2683807595,2.59121140963,2089.0
Rieux-Volvestre,43.2555733864,1.20637769393,2640.0
Rignac,44.4038329146,2.29228871208,2072.0
Rivesaltes,42.7785910442,2.87687296538,8582.0
Rodez,44.3582426254,2.5672793892,25690.0
Roquecourbe,43.6726544083,2.27758521528,2352.0
Roques,43.5074145403,1.35458627554,4329.0
Roquettes,43.4947364798,1.37416616378,4248.0
Rouffiac-Tolosan,43.6638973409,1.52541943073,1983.0
Réalmont,43.7799765873,2.19017910647,3407.0
Réalville,44.1281472573,1.48081390272,1936.0
Réquista,44.031961026,2.54899148777,2123.0
Saint-Affrique,43.9656694471,2.86653125625,8938.0
Saint-Alban,43.6927708878,1.41260524785,5887.0
Saint-Amans-Soult,43.4644785772,2.47706341258,1751.0
Saint-Antonin-Noble-Val,44.156093011,1.73640541242,1928.0
Saint-Benoît-de-Carmaux,44.0544138951,2.12958421961,2189.0
Saint-Chinian,43.4211029335,2.93138227583,1847.0
Saint-Féliu-d'Avall,42.6726973076,2.74775654622,2623.0
Saint-Gaudens,43.1199260811,0.726613564199,11818.0
Saint-Geniès-Bellevue,43.6848850771,1.48047033439,2208.0
Saint-Geniès-de-Fontedit,43.4689118509,3.17497763189,1508.0
Saint-Georges-de-Luzençon,44.0565556182,2.98714381525,1560.0
Saint-Girons,42.9752923045,1.15326595533,6750.0
Saint-Jean,43.6632000218,1.50080213607,10564.0
Saint-Jean-du-Falga,43.0862015725,1.62439338858,2886.0
Saint-Jory,43.739344106,1.35625454624,5709.0
Saint-Juéry,43.9385571465,2.22614415314,6867.0
Saint-Loup-Cammas,43.6978585888,1.47992781027,1894.0
Saint-Lys,43.5100073275,1.19955711914,9075.0
Saint-Marcel-sur-Aude,43.2513488574,2.92392517153,1859.0
Saint-Nauphary,43.95896731,1.44860158065,1801.0
Saint-Nazaire-d'Aude,43.2489566147,2.89118063794,1925.0
Saint-Orens-de-Gameville,43.5590787673,1.53513710649,11524.0
Saint-Paul-de-Fenouillet,42.8206748492,2.50723870282,1885.0
Saint-Pons-de-Thomières,43.4788345407,2.74852691953,2180.0
Saint-Sauveur,43.7513409309,1.3957911718,1841.0
Saint-Sulpice-la-Pointe,43.7589885163,1.68659997767,8703.0
Saint-Sulpice-sur-Lèze,43.3245529434,1.34127372326,2088.0
Saint-Étienne-de-Tulmont,44.044673154,1.45703284983,3797.0
Sainte-Foy-d'Aigrefeuille,43.5509540982,1.60301367182,2100.0
Sainte-Foy-de-Peyrolières,43.4808986734,1.13693209455,2100.0
Sainte-Radegonde,44.3313046455,2.63272943848,1813.0
Salies-du-Salat,43.1013456235,0.962933495319,1926.0
Salles-d'Aude,43.2361241545,3.10717237313,3159.0
Salles-la-Source,44.4437884405,2.5250957268,2245.0
Sallèles-d'Aude,43.2700227368,2.93528136754,2840.0
Salses-le-Château,42.8371985526,2.91593580268,3298.0
Salvetat-Saint-Gilles,43.5754800218,1.26616319872,7464.0
Samatan,43.4935426323,0.934596447621,2500.0
Saubens,43.4793134879,1.3595994131,2157.0
Saverdun,43.2265667321,1.57373634569,4758.0
Saïx,43.5842195914,2.17044847109,3455.0
Seilh,43.6900953799,1.35675007167,3170.0
Septfonds,44.1765759652,1.61739308656,2195.0
Sequestre,43.9105402335,2.10655664211,1574.0
Seysses,43.4988915794,1.28690575634,8078.0
Sigean,43.0395983609,2.98124209143,5561.0
Sorèze,43.4412492469,2.08031337654,2794.0
Soual,43.5511250266,2.12888668782,2465.0
Sébazac-Concourès,44.4232783345,2.6111835082,3237.0
Sémalens,43.598998518,2.10929167449,2081.0
Tarascon-sur-Ariège,42.8461514685,1.59648461871,3407.0
Thézan-lès-Béziers,43.4132925116,3.15810877475,2893.0
Toulouse,43.5963814303,1.43167293364,466219.0
Tour-du-Crieu,43.1046663015,1.6669791178,3042.0
Tournefeuille,43.5781918597,1.33500697752,26783.0
Trèbes,43.2054644637,2.45954102477,5548.0
Union,43.6542470428,1.48394847329,11961.0
Valady,44.4471578876,2.44255701566,1582.0
Varilhes,43.0547690657,1.63364245482,3386.0
Vendres,43.2581519414,3.22720260244,2781.0
Venerque,43.4337432193,1.4666400302,2646.0
Verdun-sur-Garonne,43.849145335,1.22845642714,4607.0
Verfeil,43.6637744377,1.67738560148,3434.0
Vernet,43.4279795368,1.42137431875,2499.0
Verniolle,43.0809118963,1.6610092477,2458.0
Vielmur-sur-Agout,43.6274174186,2.10074049718,1527.0
Ville-Dieu-du-Temple,44.0429816924,1.22097362362,3188.0
Villefranche-de-Lauragais,43.4067792695,1.71965126707,4303.0
Villefranche-de-Rouergue,44.3499160171,2.03103287572,12775.0
Villegailhenc,43.2718025661,2.34692667896,1686.0
Villemoustaussou,43.2495624385,2.36587017807,4272.0
Villemur-sur-Tarn,43.8644095962,1.49043812706,5866.0
Villeneuve,44.4470516334,2.0285315392,2005.0
Villeneuve-Tolosane,43.5266707182,1.34648807644,9172.0
Villeneuve-de-Rivière,43.1223437031,0.670046646703,1800.0
Vinassan,43.2054224322,3.09538889939,2627.0
Vinça,42.64326224,2.52272432664,1979.0
Viviers-lès-Montagnes,43.5498302673,2.17556071709,1989.0
